ItemId,QuestId,Quantity,IsHq
5352,65541,10,False
4832,65542,10,False
5599,65543,15,False
5542,65544,15,False
4813,65545,15,False
4839,65546,20,False
4792,65547,20,False
5536,65548,20,False
5395,65549,3,False
5280,65587,1,True
3100,65597,1,True
3616,65599,1,True
3639,65600,1,True
2270,65601,1,True
3651,65601,1,True
4360,65601,1,True
3206,65602,1,True
4304,65642,1,False
5276,65671,12,False
3772,65672,1,False
4308,65672,1,False
3784,65673,1,False
2219,65675,1,False
5364,65676,12,False
1823,65677,1,False
1895,65677,1,False
1827,65678,1,False
5371,65704,1,True
2015,65705,1,True
4552,65708,1,False
5361,65741,1,False
5509,65744,10,False
5275,65745,1,False
8754,65782,1,False
8756,65782,1,False
8763,65782,1,False
8768,65782,1,False
8772,65782,1,False
8775,65782,1,False
9273,65783,1,False
9273,65784,1,False
9273,65785,1,False
9273,65787,1,False
4849,65790,1,False
4660,65791,1,False
4640,65793,2,False
4642,65794,1,False
4730,65795,1,False
4644,65796,1,False
4645,65802,1,True
4677,65803,1,True
4712,65804,1,True
4733,65804,1,True
4749,65804,1,True
4679,65805,1,True
4647,65806,1,True
4678,65806,1,True
4713,65806,1,True
4715,65806,1,True
5056,65810,1,False
2226,65811,1,False
5071,65812,12,False
2231,65813,1,False
2680,65813,1,False
2236,65814,1,False
5058,65815,1,True
3096,65816,1,True
2502,65817,1,True
3149,65818,1,True
2830,65819,1,True
3861,65819,1,True
3868,65819,1,True
3203,65820,1,True
9269,65823,1,False
9270,65823,1,False
9271,65823,1,False
5056,65828,1,False
2341,65829,1,False
5091,65830,12,False
1605,65831,1,False
1753,65831,1,False
2344,65832,1,False
5058,65833,1,True
2551,65834,1,True
1778,65835,1,True
2350,65836,1,True
1659,65837,1,True
1723,65837,1,True
1796,65837,1,True
1663,65838,1,True
9273,65890,1,False
9510,65893,1,True
9511,65893,1,True
9538,65893,1,False
9539,65893,1,False
9540,65893,1,False
9512,65894,1,True
9513,65894,1,True
9539,65894,1,False
9540,65894,1,False
9542,65894,1,False
9514,65895,1,True
9515,65895,1,True
9539,65895,1,False
9540,65895,1,False
9543,65895,1,False
9516,65896,1,True
9517,65896,1,True
9539,65896,1,False
9540,65896,1,False
9544,65896,1,False
4552,65924,1,False
2651,65985,1,False
4552,66010,1,False
10089,66036,1,False
5333,66071,1,False
1917,66072,1,True
1925,66073,1,True
1862,66074,1,True
1937,66074,1,True
2039,66074,1,True
1942,66075,1,True
5376,66075,1,True
3760,66081,1,False
4196,66088,1,False
10087,66095,1,False
5487,66113,1,False
4564,66114,3,False
5515,66116,12,False
4595,66117,1,False
4597,66117,1,False
2149,66118,1,False
5522,66119,1,True
4575,66120,3,True
3274,66123,1,False
5324,66125,12,False
3039,66127,1,False
5326,66128,1,True
3823,66129,1,True
5106,66135,10,False
5432,66136,10,False
5124,66138,10,False
5519,66139,10,False
5599,66140,15,False
5491,66141,15,False
5125,66142,15,False
5062,66146,1,False
4305,66147,1,False
5086,66149,12,False
4204,66150,1,False
4309,66150,1,False
2111,66151,1,False
5064,66152,1,True
4218,66153,1,True
5138,66179,20,False
5168,66180,20,False
5115,66181,20,False
5121,66182,3,False
4556,66183,1,True
4599,66184,3,True
4606,66185,1,True
4607,66185,1,True
4608,66185,1,True
1987,66186,1,True
3125,66187,1,True
3413,66188,1,True
2829,66189,1,True
3176,66189,1,True
3429,66189,1,True
2895,66190,1,True
3215,66190,1,True
3475,66190,1,True
2078,66191,1,True
2125,66192,1,True
2872,66193,1,True
2876,66193,1,True
2878,66193,1,True
4514,66194,1,True
4745,66235,1,False
6018,66236,1,False
6017,66237,1,False
6019,66238,1,False
4772,66269,1,False
4674,66320,1,False
2394,66407,1,False
3460,66588,1,False
3466,66636,1,False
4870,66644,5,False
4874,66645,3,False
4930,66646,1,False
4882,66647,5,False
4955,66648,5,False
4963,66649,1,False
4898,66650,10,False
5033,66651,1,False
4905,66652,5,False
5040,66653,5,False
4917,66654,1,False
1805,66655,1,False
1810,66655,1,False
6267,66655,1,False
1665,66656,1,False
1670,66656,1,False
6267,66656,1,False
1735,66657,1,False
1740,66657,1,False
6267,66657,1,False
1874,66658,1,False
1879,66658,1,False
6267,66658,1,False
2102,66659,1,False
2135,66659,1,False
6267,66659,1,False
2046,66660,1,False
2049,66660,1,False
6267,66660,1,False
1944,66661,1,False
1949,66661,1,False
6267,66661,1,False
2191,66662,1,False
2202,66662,1,False
6267,66662,1,False
2192,66663,1,False
2201,66663,1,False
6267,66663,1,False
5942,66689,1,False
5943,66690,1,False
5944,66691,1,False
5945,66692,1,False
7001,66781,1,False
7002,66800,1,False
7003,66820,1,False
6998,66837,1,False
6999,66837,1,False
7797,66872,1,False
7802,66900,1,False
7803,66908,1,False
7798,66915,1,False
7804,66932,1,False
7805,66945,1,False
2659,66950,1,False
2659,66951,1,False
2659,66952,1,False
4924,66966,1,False
7693,66966,1,False
7885,66998,3,False
8129,67023,1,False
8130,67024,1,True
8131,67025,1,True
8132,67027,4,True
8133,67029,1,True
8134,67029,1,True
8091,67030,1,False
8092,67031,1,False
8093,67032,2,False
8094,67033,3,False
8105,67034,4,True
8106,67035,4,True
8107,67036,1,True
8108,67037,3,True
8109,67038,2,True
8110,67039,4,True
8095,67040,3,True
8096,67041,2,True
8097,67042,1,True
8098,67043,1,True
8099,67044,2,True
8112,67045,1,True
8113,67046,2,True
8114,67047,1,True
8115,67048,2,True
8117,67049,1,True
8100,67050,2,True
8101,67051,2,True
8102,67052,1,True
8103,67053,1,True
8104,67054,1,True
8118,67055,2,True
8120,67056,1,True
8121,67057,2,True
8122,67058,2,True
8123,67059,3,True
16778,67084,1,False
8125,67102,2,True
8126,67103,1,True
8127,67104,2,True
4870,67108,1,False
8697,67114,1,False
6267,67115,1,False
7887,67115,1,False
9224,67115,1,False
6268,67206,10,False
7883,67206,50,False
10611,67534,1,True
10636,67535,1,True
12583,67536,3,True
10609,67537,1,True
11966,67539,1,True
10881,67540,1,True
12596,67541,3,True
13001,67542,1,False
12528,67544,3,True
10588,67545,1,True
11877,67546,1,True
10591,67547,1,True
10756,67575,1,False
10721,67576,1,True
10667,67577,1,True
10682,67578,1,True
12842,67580,1,True
12846,67580,1,False
12849,67581,1,True
12855,67581,1,True
12862,67581,1,True
12858,67582,1,True
12847,67583,1,True
12854,67583,1,True
12860,67583,1,True
12878,67585,10,False
12879,67586,10,False
12579,67587,10,False
12900,67588,3,False
12601,67602,3,True
12615,67603,3,True
12622,67604,1,True
10651,67605,1,True
11068,67607,1,False
12521,67608,1,False
12644,67609,1,False
12108,67610,1,False
12109,67610,1,False
12007,67612,1,True
10875,67613,1,True
12024,67614,1,True
12999,67615,1,False
12534,67617,10,False
12537,67618,10,False
12535,67619,10,False
12538,67620,3,False
12713,67622,3,False
12769,67623,3,False
12793,67624,1,False
12829,67625,1,False
10332,67661,1,False
10333,67663,7,False
15425,67674,3,False
13575,67748,1,False
13576,67748,1,False
13577,67750,1,False
13578,67750,1,False
13579,67750,1,False
13580,67750,1,False
13741,67759,1,False
13726,67760,1,False
14899,67820,5,False
15725,67826,3,False
15726,67827,3,False
15727,67828,2,False
15728,67829,3,False
15729,67830,3,False
15730,67832,3,False
15731,67834,1,True
15732,67835,2,False
15733,67836,1,True
15734,67837,1,True
15735,67839,2,True
15736,67840,3,False
15737,67841,1,True
15738,67843,3,False
15739,67846,1,True
15740,67847,3,False
15741,67849,3,False
15742,67850,1,True
15743,67852,3,False
15744,67853,2,False
15745,67854,1,True
15720,67856,1,False
15721,67858,1,True
15722,67860,1,True
15723,67861,1,True
15724,67862,1,True
16064,67915,50,False
16932,67932,1,False
16933,67933,15,False
16934,67940,1,False
17918,67968,1,True
17920,67969,1,True
17922,67970,1,True
17924,67971,2,True
17926,67973,1,True
17928,67974,1,True
17930,67975,1,True
17932,67976,1,True
17878,67978,1,True
17880,67979,1,True
17882,67980,1,True
17884,67981,1,True
17941,68091,20,False
17942,68092,20,False
17943,68093,20,False
17944,68094,5,False
17894,68131,1,True
17896,68132,1,True
17898,68133,1,True
17900,68134,1,True
17902,68136,1,True
17904,68137,1,True
17906,68138,1,True
17908,68139,1,True
17934,68141,1,True
17936,68142,1,True
17938,68143,1,True
17940,68144,1,True
17910,68146,1,True
17912,68147,1,True
17914,68150,1,True
17916,68151,1,True
17886,68152,1,True
17888,68153,1,True
17890,68154,1,True
17892,68155,1,True
17945,68157,20,False
17946,68158,20,False
17947,68159,20,False
17948,68160,5,False
17949,68432,3,False
17950,68433,3,False
17951,68434,3,False
17952,68435,5,False
10332,68494,1,False
20304,68496,7,False
22403,68618,1,False
9331,68629,10,True
19822,68727,3,True
19826,68727,3,True
22432,68727,3,True
24894,68741,1,False
27237,68764,1,True
27239,68765,1,True
27245,68767,1,True
27247,68768,1,True
27253,68770,1,True
27255,68771,1,True
26756,68773,1,False
26757,68774,1,False
26750,68776,1,False
26751,68777,1,False
27993,69200,4,False
10332,69202,1,False
5768,69264,2,False
30273,69381,4,False
31137,69432,1,False
31139,69433,1,False
31141,69434,1,False
31143,69435,1,True
31145,69436,1,True
31147,69438,3,False
31149,69439,2,False
31151,69440,4,False
31153,69442,3,False
31155,69443,2,False
31157,69444,3,False
31159,69446,3,False
31161,69447,1,True
31163,69449,3,False
31165,69450,2,False
31167,69451,1,True
31169,69453,3,False
31171,69454,1,True
31173,69456,3,False
31175,69457,1,True
31177,69460,1,True
31179,69461,3,False
31181,69463,1,True
31183,69464,3,False
30886,69480,1,False
31573,69506,20,False
31574,69506,20,False
31575,69506,20,False
31576,69507,6,False
32201,69565,3,False
32956,69574,15,False
32957,69575,18,False
32958,69575,18,False
32959,69576,15,False
33757,69633,30,False
33758,69633,30,False
33759,69634,30,False
33760,69634,30,False
33763,69635,30,False
33764,69635,30,False
33767,69637,15,False
35836,69672,1,True
35838,69674,1,True
35840,69679,1,True
35842,69681,1,True
35844,69686,1,True
35846,69688,1,True
35847,69693,1,False
35848,69695,1,False
35849,69700,1,False
35850,69702,1,False
35832,70056,1,False
38420,70188,3,False
38420,70189,3,False
38843,70217,3,False
38845,70218,2,False
38847,70219,2,False
38849,70220,1,True
38851,70221,1,True
38853,70223,3,False
38855,70224,2,False
38857,70225,4,False
38859,70227,3,False
38861,70228,2,False
38863,70229,3,False
38865,70231,3,False
38867,70232,1,True
38869,70234,4,False
38871,70235,1,True
38873,70237,3,False
38875,70238,1,True
38877,70239,2,False
38879,70241,2,False
38881,70242,1,True
38883,70244,3,False
38885,70246,1,True
38887,70248,3,False
38889,70249,1,True
38940,70261,3,False
38940,70262,3,False
40322,70307,3,False
40322,70308,3,False
41032,70342,3,False
41032,70343,3,False
43907,70508,1,True
43908,70510,1,True
43909,70515,1,True
43910,70517,1,True
43911,70522,1,True
43912,70524,1,True
48008,70853,1,False
47750,70856,3,False
46198,70866,3,False
46200,70867,1,False
46202,70868,1,False
46204,70869,1,True
46206,70870,1,True
46208,70872,3,False
46210,70873,2,False
46212,70874,3,False
46214,70876,3,False
46216,70877,3,False
46218,70878,3,False
46220,70880,1,True
46222,70881,4,False
46224,70883,2,False
46226,70884,1,True
46228,70886,1,True
46230,70888,3,False
46232,70889,4,False
46234,70891,2,False
46236,70893,3,False
46238,70895,1,True
46240,70897,4,False
46242,70898,1,True
46852,70916,1,False
46854,70916,1,False
46855,70916,1,False
46856,70916,1,False
46857,70916,1,False
46850,70918,3,False
